RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
0.33333,0.05,-1,-0.28
0.52381,0.35,-0.52381,-0.32
0.71429,0.5,-0.57143,-0.32
0.57143,0.35,-0.66667,-0.4
0.52381,0.35,-0.90476,-0.56
0.57143,0.2,-0.47619,-0.44
0.57143,0.35,-1,-0.44
0.42857,0.35,-0.71429,-0.48
0.19048,0.65,-0.71429,-0.48
0.33333,0.35,-0.71429,-0.56
0.33333,0.8,-0.47619,-0.16
0.80952,0.6,-1,-0.56
0.71429,0.55,-1,-0.32
0.71429,0.5,-0.95238,-0.48
0.85714,0.45,-0.66667,-0.52
0.71429,0.8,-1,-0.56
0.95238,0.35,-0.95238,-0.68
0.80952,0.3,-1,-0.64
0.7619,0.45,-1,-0.72
0.71429,0.6,-1,-0.56
0.85714,0.75,-0.7619,-0.48
0.85714,0.65,-1,-0.8
0.80952,0.85,-0.90476,-0.6
0.57143,0.9,-0.57143,-0.6
0.28571,0.8,-0.52381,-0.44
