RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.14286,-0.25,0.42857,0.28
-0.42857,-0.3,0.57143,0.4
-0.14286,-0.9,0.57143,0.6
-0.71429,-0.3,0.047619,0.32
-0.61905,-0.7,0.42857,0.04
-0.52381,-0.7,0,-0.08
-0.95238,-0.55,0.14286,-0.08
-1,-0.7,0.14286,0.32
-0.66667,-1,0.14286,0.04
-0.66667,-1,0.28571,-0.08
-0.95238,-1,0.14286,-0.08
-1,-0.9,0.14286,-0.2
-0.95238,-0.95,-0.28571,0.04
-1,-0.95,0.14286,0.08
-0.85714,-1,0.047619,0.2
-0.90476,-0.85,0,0
-0.95238,-0.9,0,0.16
-0.66667,-0.8,0.28571,0.04
-1,-1,0.14286,0.16
-1,-0.95,0.14286,0.56
-0.95238,-0.65,0.33333,0.4
-0.57143,-0.75,0.28571,0.56
