RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.90476,-1,0.42857,0.64
-1,-0.5,0.57143,0.76
-0.80952,-0.65,0.71429,0.8
-0.80952,-0.45,0.42857,0.8
-0.80952,-0.75,0.61905,0.76
-0.71429,-0.75,0.28571,0.68
-0.80952,-1,0,0.76
-0.71429,-0.7,0.57143,0.84
-0.71429,-1,0.38095,0.76
-0.52381,-1,0.42857,-0.16
-0.90476,-1,-0.14286,0.28
-0.57143,-1,0.28571,0.64
-1,-0.55,0.71429,0.28
-0.7619,-0.55,0.7619,-0.2
-1,-1,0.85714,0.6
-1,-0.85,0.71429,0.4
-0.95238,-0.4,0.52381,0.16
-0.47619,-0.4,0.52381,0.04
-0.57143,-0.55,0.71429,0.08
-0.42857,-0.55,0.71429,0.04
-0.38095,-0.8,0.42857,-0.08
-0.14286,-0.85,0.28571,0.04
-0.14286,-0.95,0.42857,0.04
-0.14286,-0.9,0.33333,0.28
-0.14286,-0.4,0.28571,-0.76
-0.28571,-0.3,0,-0.04
-0.28571,-0.25,0.14286,-0.12
