RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-1,-0.7,-0.19048,0.92
-0.90476,-0.85,0.57143,0.84
-0.66667,-0.55,0.28571,0.84
-1,-0.55,0.7619,0.84
-0.66667,-0.85,0.42857,0.68
-0.42857,-0.8,0.19048,0.64
-0.42857,-0.8,0.095238,0.8
-0.61905,-1,0.14286,0.88
-0.66667,-1,0.28571,0.84
-1,-0.55,0.38095,0.76
-0.42857,-0.75,0.42857,0.76
-0.71429,-0.5,0.38095,0.8
-0.57143,-0.7,0.52381,0.64
-0.71429,-0.25,0.57143,0.64
-0.33333,-0.25,0.42857,0.6
-0.28571,-0.15,0.14286,0.12
-0.42857,-0.4,0.28571,0.12
-0.38095,-0.3,0.42857,0.04
-0.57143,-0.25,0.095238,0.12
-1,-0.1,0.57143,0.52
