RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.095238,0.2,-1,-0.6
0.14286,-0.2,-1,-0.72
0,0.15,-1,-0.72
-0.28571,0.35,-0.7619,-0.28
-0.42857,0.05,-0.47619,-0.08
0.047619,-0.1,-0.80952,-0.28
-0.52381,0.2,-0.7619,-0.36
0.19048,-0.1,-1,-0.12
0.14286,-0.05,-0.85714,-0.08
0.19048,-0.1,-0.71429,-0.04
0.14286,0,-0.71429,-0.08
-0.28571,0.35,-0.66667,-0.44
0,0.35,-0.71429,-0.32
0.19048,0.35,-0.71429,-0.36
0.047619,0.1,-0.57143,-0.04
-0.14286,0.2,-0.42857,0.04
0,0.35,-1,0
0.14286,0.1,-0.47619,-0.04
-0.47619,0.35,-0.57143,-0.08
0,0.35,-0.42857,-0.08
0,0.35,-0.28571,-0.32
-0.42857,0.35,-0.38095,-0.08
0.19048,0.35,-0.57143,0.04
0,-0.25,-0.47619,0.04
0.14286,-0.4,-0.71429,0.04
-0.14286,0.35,-0.47619,0.04
