RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.28571,-0.05,-0.57143,-0.12
0.14286,-0.15,-0.57143,-0.16
-0.19048,0.05,-0.57143,-0.2
0,-0.1,-0.52381,-0.2
-0.66667,0.3,-0.90476,-0.08
0.14286,0.25,-0.85714,0
0.047619,0.25,-0.66667,-0.32
-0.28571,0.35,-0.42857,-0.56
-0.14286,0,-0.28571,-0.2
0.14286,0.3,-0.2381,-0.2
0.047619,0.5,-0.52381,-0.2
-0.047619,0.6,-0.61905,-0.08
0.2381,0.1,-0.52381,0.04
-0.14286,-0.05,-0.28571,0.04
-0.33333,0,-0.38095,0.16
0.14286,-0.25,-0.57143,0.16
-0.38095,-0.6,-0.80952,0.12
0,0.15,-0.52381,0.32
-0.52381,-0.15,-0.57143,0.16
-0.19048,0.6,-1,0.16
0.28571,-0.05,-0.47619,0.12
-0.2381,0.2,-0.95238,0
0.14286,0.05,-0.33333,0.08
0.047619,0.35,-1,-0.16
0,-0.4,-0.28571,0.04
-0.19048,-0.4,-0.095238,0.04
0.047619,-0.15,-0.2381,-0.76
0.14286,0.05,-0.42857,0.08
0.14286,0.05,-0.38095,-0.04
