RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.57143,-0.95,0.19048,0.64
-0.85714,-0.7,0.42857,0.68
-0.95238,-0.5,0.57143,0.76
-0.61905,-0.95,0.38095,0.76
-0.66667,-0.7,0.95238,0.4
-1,-1,0.80952,0.76
-0.85714,-1,0.42857,0.72
-0.57143,-0.55,0.85714,0.6
-0.7619,-0.75,0.47619,0.76
-0.61905,-1,-0.047619,0.76
-1,-0.6,0.2381,0.76
-0.7619,-0.55,0.42857,0.72
-0.80952,-0.4,0.85714,0.64
-0.95238,-0.6,0.85714,0.2
-0.57143,-0.75,0.85714,0.68
-0.47619,-1,0.28571,0.88
-0.7619,-1,0.42857,0.76
-0.71429,-0.85,0.71429,0.28
-0.52381,-0.65,0.2381,0.64
-0.7619,-0.9,-0.42857,0.64
-0.71429,-1,0.2381,0.6
-0.95238,-0.5,0.42857,0.56
-1,-0.45,0.42857,0.68
-0.7619,-0.7,0.52381,0.4
