RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.14286,-0.65,0.38095,0.04
-0.14286,-0.95,0.42857,0.12
-0.28571,-0.5,0.28571,-0.16
-0.42857,-0.3,0.28571,0.12
-0.57143,-0.35,0.38095,-0.48
-0.42857,-0.25,0.28571,0.24
-0.38095,-0.15,0.19048,0.04
-0.2381,-0.2,0.14286,0.16
-0.52381,-0.4,0.28571,0.28
-0.57143,-0.5,0.14286,0.16
-0.57143,-0.35,0.14286,-0.32
-1,-0.4,0.42857,-0.4
-0.71429,-0.75,0.2381,-0.2
-0.47619,-0.7,-0.095238,0.04
-0.19048,-0.4,0.42857,0.08
-0.28571,-0.5,0.14286,0.08
-0.38095,-0.7,-0.095238,-0.04
-0.42857,-0.15,0.14286,-0.64
-0.47619,0.05,-0.28571,0.04
-0.28571,-0.3,0.28571,0.24
-0.42857,0.05,-0.33333,0.2
0,0,-0.38095,-0.2
-0.28571,0.05,0.047619,0.04
-0.57143,0.1,0.047619,0.12
