RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-1,-0.55,0.28571,0.76
-1,-0.55,0.47619,0.64
-0.80952,-0.55,1,0.6
-0.7619,-0.6,0.28571,0.16
-0.7619,-0.6,0.14286,0.8
-0.71429,-0.95,0.2381,0.76
-0.85714,-0.65,0.57143,0.76
-0.80952,-0.7,0.47619,0.68
-0.71429,-1,0.28571,0.04
-1,-1,0,0.52
-0.90476,-1,0.33333,0.56
-0.95238,-0.6,0.47619,0.6
-0.90476,-0.65,0.47619,0.32
-0.90476,-0.85,0.33333,0.4
-0.57143,-0.9,0.71429,0.36
-0.7619,-0.55,0.57143,0.04
-1,-0.8,0.57143,0.24
-1,-0.85,0.42857,0.04
-0.7619,-0.5,0.28571,0.12
-0.61905,-0.55,0.42857,-0.32
-0.42857,-0.85,-0.28571,0
-0.19048,-0.95,0.42857,0.04
-0.2381,-0.75,0.28571,0.28
-0.19048,-0.35,-0.095238,0
