RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.57143,-0.85,0.71429,0.64
-0.28571,-0.55,0.28571,0.68
-0.61905,-0.7,0.61905,0.88
-0.80952,-0.85,0.47619,0.76
-0.66667,-0.55,0.71429,0.76
-0.85714,-0.8,0.85714,0.64
-0.90476,-1,0.42857,0.68
-0.57143,-1,0.28571,0.76
-0.71429,-1,0.38095,0.88
-0.71429,-0.7,0.71429,0.72
-0.85714,-1,0.33333,0.52
-1,-0.8,0.14286,0.28
-1,-0.7,0.14286,0.56
-0.85714,-1,0.47619,0.28
-0.85714,-0.7,0.7619,-0.04
-0.90476,-0.7,0.85714,0.16
-0.95238,-1,0.7619,0.6
-0.66667,-1,0.7619,0.56
-0.66667,-0.65,0.85714,-0.08
-0.85714,-0.55,0.71429,0.24
-0.47619,-0.9,0.57143,0.16
-0.57143,-0.95,0.57143,0.04
-0.71429,-0.55,0.71429,-0.56
-0.61905,-0.55,0.57143,0
-0.47619,-0.8,-0.47619,-0.36
-0.42857,-0.6,0.47619,0.04
