RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
0.095238,0.55,-0.47619,-0.32
-0.28571,0.55,-0.42857,-0.28
-0.047619,0.3,-0.19048,-0.08
-0.19048,-0.1,-0.19048,-0.04
-0.47619,0.2,-0.33333,-0.24
-0.33333,0.1,-0.66667,-0.32
-0.28571,-0.1,-0.57143,-0.6
-0.2381,-0.15,-0.38095,-0.56
-0.19048,-0.1,-0.28571,-0.32
-0.66667,0.15,-0.28571,-0.2
-0.14286,0.05,-0.14286,0.04
0.14286,-0.1,-0.047619,0.04
0,0.2,-0.14286,-0.12
-0.28571,0.25,-0.28571,-0.24
-0.2381,-0.05,-0.19048,-0.2
-0.095238,0.1,-0.38095,-0.04
-0.85714,-0.25,0,0.04
0.095238,0.35,0.14286,-0.2
-0.14286,0.05,0.047619,-0.04
0.14286,0.25,0.14286,-0.28
-0.14286,0.1,-0.047619,-0.28
-0.047619,-0.55,-0.047619,0.04
-0.57143,-0.25,0,0.16
0.14286,0.4,-0.2381,0.04
