RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
-0.42857,-1,0.7619,0.04
-0.47619,-1,0.57143,0.08
-0.71429,-0.95,0.42857,-0.12
-0.38095,-0.65,0.71429,-0.28
-0.14286,-0.85,0.14286,-0.08
-0.2381,-0.85,0.28571,0.04
-0.28571,-0.55,-0.047619,0.04
-0.28571,-0.45,0.33333,0.16
-0.28571,-0.55,0.047619,0.04
-0.33333,-0.55,0.42857,-0.8
-0.42857,-0.55,0.28571,-0.04
-0.38095,-0.4,0.2381,0.2
-0.28571,-0.15,0.14286,0.28
-0.28571,-0.45,0.42857,0.08
-0.85714,-0.25,0.14286,0.04
-0.42857,-0.4,0.14286,0.08
-0.47619,-0.4,0.14286,-0.72
-0.71429,-0.5,0.28571,-0.12
-0.66667,-0.55,0,-0.08
-0.2381,-0.45,0.28571,0.2
-0.2381,-0.35,-0.047619,0.12
-0.33333,-0.6,-0.52381,-0.08
-0.57143,-0.4,-0.52381,-0.12
-0.47619,0,-0.047619,0.28
