RSS_anchor1,RSS_anchor2,RSS_anchor3,RSS_anchor4
0.14286,0.05,-0.33333,-0.68
0.33333,0.65,-0.66667,-0.32
0.42857,0.8,-0.33333,-0.4
0.28571,0.95,-0.42857,-0.12
0.47619,0.55,-0.80952,-0.52
0.42857,0.65,-1,-0.8
0.57143,0.05,-1,-0.32
0.19048,0.35,-1,-0.36
0.42857,0.3,-0.42857,-0.32
0.71429,0.35,-0.57143,-0.32
0.71429,0.35,-0.57143,-0.28
0.47619,0.55,-0.80952,-0.68
0.7619,1,-0.95238,-0.48
0.52381,0.8,-0.80952,-0.64
0.57143,0.6,-0.90476,-0.8
0.52381,0,-0.66667,-0.68
0.52381,0.2,-0.95238,-0.4
0.71429,-0.25,-0.80952,-0.28
0.71429,0.5,-0.7619,-0.32
0.80952,0,-0.95238,-0.4
0.71429,0.3,-0.85714,-0.4
0.7619,0.45,-0.71429,-0.44
0.71429,0.4,-1,-0.84
