Fold,xgb_LinearModel,xgb_DecisionTree,xgb_RandomForest,xgb_GradientBoosting,h2o_LinearModel,h2o_DecisionTree,h2o_RandomForest,h2o_GradientBoosting,h2o_NN_32x6_ReLU,h2o_NN_32x6_Soft,h2o_NN_16x16x6_ReLU,h2o_NN_16x16x6_Soft
Fold_1v2,0.55914,0.354839,0.451613,0.494624,0.4408602,0.225806451612903,0.365591397849462,0.505376344086022,0.56989247311828,0.548387096774194,0.505376344086022,0.537634408602151
Fold_1v3,0.576087,0.380435,0.48913,0.565217,0.57608694,0.184782608695652,0.326086956521739,0.532608695652174,0.630434782608696,0.630434782608696,0.565217391304348,0.576086956521739
Fold_2v1,0.519231,0.490385,0.471154,0.490385,0.48076922,0.326923076923077,0.471153846153846,0.432692307692308,0.509615384615385,0.432692307692308,0.509615384615385,0.451923076923077
Fold_2v3,0.730769,0.548077,0.644231,0.740385,0.65384614,0.509615384615385,0.807692307692308,0.721153846153846,0.75,0.75,0.730769230769231,0.740384615384615
Fold_3v1,0.596154,0.355769,0.442308,0.423077,0.44230768,0.326923076923077,0.403846153846154,0.413461538461538,0.490384615384615,0.519230769230769,0.538461538461538,0.567307692307692
Fold_3v2,0.820755,0.679245,0.566038,0.773585,0.6603774,0.594339622641509,0.820754716981132,0.745283018867925,0.754716981132075,0.745283018867925,0.792452830188679,0.754716981132075
Fold_1v23,0.567568,0.367568,0.47027,0.502703,0.5081081,0.205405405405405,0.313513513513514,0.486486486486487,0.583783783783784,0.578378378378378,0.502702702702703,0.551351351351351
Fold_2v13,0.576923,0.461538,0.490385,0.509615,0.5192308,0.350961538461538,0.600961538461538,0.5,0.586538461538462,0.581730769230769,0.576923076923077,0.615384615384615
Fold_3v12,0.585714,0.495238,0.328571,0.542857,0.54761904,0.433333333333333,0.547619047619048,0.523809523809524,0.580952380952381,0.566666666666667,0.60952380952381,0.6
Fold_12v3,0.673077,0.625,0.615385,0.721154,0.5576923,0.490384615384615,0.673076923076923,0.721153846153846,0.663461538461538,0.673076923076923,0.711538461538462,0.75
Fold_13v2,0.632075,0.509434,0.518868,0.669811,0.5849057,0.443396226415094,0.726415094339623,0.726415094339623,0.650943396226415,0.650943396226415,0.716981132075472,0.679245283018868
Fold_23v1,0.567308,0.480769,0.346154,0.480769,0.48076922,0.403846153846154,0.451923076923077,0.394230769230769,0.509615384615385,0.509615384615385,0.548076923076923,0.557692307692308
Moyenne_1c1,0.633689333333333,0.468125,0.510745666666667,0.581212166666667,0.542374596666667,0.361398370235267,0.53252089650744,0.558429291818969,0.617507372809842,0.604337995862315,0.606982119904201,0.604675621811892
Moyenne_1c2,0.576735,0.441448,0.429742,0.518391666666667,0.52498598,0.329900092400092,0.4873646998647,0.503432003432004,0.583758208758209,0.575591938091938,0.563049863049863,0.588911988911989
Moyenne_2c1,0.624153333333333,0.538401,0.493469,0.623911333333333,0.541122406666667,0.445875665215288,0.617138364779874,0.613933236574746,0.608006773101113,0.611211901306241,0.658865505563619,0.662312530237059
Moyenne,0.611525888888889,0.482658,0.477985555555556,0.574505055555556,0.536160994444444,0.379058042616882,0.545674653717338,0.55859817727524,0.603090784889721,0.597047278420165,0.609632496172561,0.618633380320313
