Fold,xgb_LinearModel,xgb_DecisionTree,xgb_RandomForest,xgb_GradientBoosting,h2o_LinearModel,h2o_DecisionTree,h2o_RandomForest,h2o_GradientBoosting,h2o_NN_32x6_ReLU,h2o_NN_32x6_Soft,h2o_NN_16x16x6_ReLU,h2o_NN_16x16x6_Soft
Fold_1v2,0.709677,0.408602,0.301075,0.494624,0.61290324,0.290322580645161,0.526881720430108,0.516129032258065,0.623655913978495,0.666666666666667,0.731182795698925,0.698924731182796
Fold_1v3,0.663043,0.282609,0.304348,0.347826,0.57608694,0.271739130434783,0.543478260869565,0.369565217391304,0.58695652173913,0.58695652173913,0.717391304347826,0.695652173913043
Fold_2v1,0.692308,0.509615,0.538462,0.615385,0.53846157,0.423076923076923,0.644230769230769,0.634615384615385,0.653846153846154,0.673076923076923,0.605769230769231,0.653846153846154
Fold_2v3,0.769231,0.711538,0.692308,0.759615,0.58653843,0.711538461538462,0.75,0.778846153846154,0.740384615384615,0.75,0.778846153846154,0.778846153846154
Fold_3v1,0.634615,0.326923,0.259615,0.403846,0.4903846,0.394230769230769,0.471153846153846,0.375,0.682692307692308,0.663461538461538,0.528846153846154,0.576923076923077
Fold_3v2,0.820755,0.669811,0.632075,0.735849,0.6792453,0.528301886792453,0.839622641509434,0.745283018867925,0.820754716981132,0.830188679245283,0.820754716981132,0.820754716981132
Fold_1v23,0.67027,0.345946,0.302703,0.421622,0.5945946,0.281081081081081,0.508108108108108,0.443243243243243,0.589189189189189,0.610810810810811,0.718918918918919,0.686486486486486
Fold_2v13,0.591346,0.475962,0.548077,0.567308,0.48076922,0.490384615384615,0.586538461538462,0.581730769230769,0.600961538461538,0.596153846153846,0.625,0.605769230769231
Fold_3v12,0.580952,0.514286,0.428571,0.514286,0.5809524,0.404761904761905,0.566666666666667,0.504761904761905,0.657142857142857,0.647619047619048,0.595238095238095,0.595238095238095
Fold_12v3,0.615385,0.692308,0.653846,0.711538,0.53846157,0.576923076923077,0.634615384615385,0.673076923076923,0.653846153846154,0.653846153846154,0.721153846153846,0.692307692307692
Fold_13v2,0.783019,0.698113,0.688679,0.773585,0.6037736,0.528301886792453,0.773584905660377,0.792452830188679,0.783018867924528,0.783018867924528,0.783018867924528,0.783018867924528
Fold_23v1,0.711538,0.451923,0.538462,0.471154,0.5,0.423076923076923,0.576923076923077,0.480769230769231,0.682692307692308,0.682692307692308,0.586538461538462,0.625
Moyenne_1c1,0.714938166666667,0.484849666666667,0.454647166666667,0.559524166666667,0.580603346666667,0.436534958619759,0.629227873032287,0.569906467829806,0.684715038270306,0.695058388198257,0.697131725914904,0.704157834448726
Moyenne_1c2,0.614189333333333,0.445398,0.426450333333333,0.501072,0.552105406666667,0.392075867075867,0.553771078771079,0.509911972411972,0.615764528264528,0.618194568194568,0.646385671385671,0.629164604164604
Moyenne_2c1,0.703314,0.614114666666667,0.626995666666667,0.652092333333333,0.547411723333333,0.509433962264151,0.66170778906628,0.648766328011611,0.706519109820997,0.706519109820997,0.696903725205612,0.70010885341074
Moyenne,0.6774805,0.514787444444445,0.502697722222222,0.570896166666667,0.560040158888889,0.446014929319925,0.614902246956549,0.57619492275113,0.668999558785277,0.673257355404607,0.680140374168729,0.67781043067469
